"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1435312618885898248""",https://twitter.com/beastjohncox/status/1435312618885898248,"2021-09-07 18:42:49","""Celebrities and career politicians won’t fix California. I’ve solved problems all my life. Let’s fix California. Vote YES on the recall and YES to John Cox. #CAGov #RecallNewsom https://t.co/558PG6Q6Ta""",Tweet,"Twitter Web App",8,15,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1435308982281785345""",https://twitter.com/beastjohncox/status/1435308982281785345,"2021-09-07 18:28:22","""In Modesto talking about taxes, cost of living, water, wildfires, and homelessness. These aren’t political problems. These are fixable management issues. Let’s recall @GavinNewsom and elect a businessman with a record of achieving results. Read my plan: https://t.co/8P64IvcO4v https://t.co/00nscDvFJR""",Tweet,"Twitter Web App",6,18,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1435279235405410305""",https://twitter.com/beastjohncox/status/1435279235405410305,"2021-09-07 16:30:10","""ONE WEEK until we recall @GavinNewsom and save this state! I'm on my way to Modesto to kick off my statewide bus tour and get out the vote. Help us spread the word by sharing this graphic and encouraging your friends to vote. #CAGov #RecallNewsom https://t.co/T9FHmbBNhZ""",Tweet,"Twitter Web App",8,17,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1435022502112202752""",https://twitter.com/beastjohncox/status/1435022502112202752,"2021-09-06 23:30:00",""".@GavinNewsom has spent billions on homelessness and the problem has only gotten worse. I’m the only candidate with a plan that focuses on solutions that address the root cause of homelessness and offer a long-term solution. https://t.co/nLniryMuDW""",Tweet,"Twitter Web App",5,30,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434985003750993923""",https://twitter.com/beastjohncox/status/1434985003750993923,"2021-09-06 21:01:00","""Vote YES to recall @GavinNewsom and let’s keep the American dream alive in California. #CAGov #RecallNewsom https://t.co/RQAIJBnoiw""",Tweet,"Twitter Web App",8,34,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434966298123911168""",https://twitter.com/beastjohncox/status/1434966298123911168,"2021-09-06 19:46:40","""Almost a week out from the election! Let’s get out and vote to fix the mismanagement in this state. Vote YES to recall @GavinNewsom and YES to elect John Cox. #CAGov https://t.co/z00tacjU0Q""",Tweet,"Twitter Web App",12,46,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434940689331015680""",https://twitter.com/beastjohncox/status/1434940689331015680,"2021-09-06 18:04:54","""On this #LaborDay, we celebrate American workers. We also need to remember what is at stake for California’s future. With the state’s rising cost of living, our talented workers are leaving, which could destroy our economy. We need to #RecallNewsom. https://t.co/9tK25LaCUS""",Tweet,"Twitter Web App",5,5,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434917650929373184""",https://twitter.com/beastjohncox/status/1434917650929373184,"2021-09-06 16:33:22","""To those observing #RoshHashanah, Shana Tova! Looking forward to better things ahead for all of us. https://t.co/GYfwhFbOSX""",Tweet,"Twitter Web App",2,8,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434622615830908935""",https://twitter.com/beastjohncox/status/1434622615830908935,"2021-09-05 21:01:00","""My wildfire prevention plan involves better forest management, use of satellite technology and a real air armada, and bringing back the timber industry. https://t.co/aLUDjurBOE""",Tweet,"Twitter Web App",6,19,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434577317523828739""",https://twitter.com/beastjohncox/status/1434577317523828739,"2021-09-05 18:01:00","""Get out and vote! California's future depends on it. #CAGov #RecallNewsom https://t.co/yq6ZAOkKxM""",Tweet,"Twitter Web App",12,44,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434547370100887554""",https://twitter.com/beastjohncox/status/1434547370100887554,"2021-09-05 16:02:00","""Our education system should prepare students for a career and higher education. This is the key to a prosperous and safe state. https://t.co/k28yz6vkSj""",Tweet,"Twitter Web App",6,12,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434276334142824449""",https://twitter.com/beastjohncox/status/1434276334142824449,"2021-09-04 22:05:00","""We need to enforce the law and make sure crime is punished. That’s the first rule of government. https://t.co/K8HnSNk93K""",Tweet,"Twitter Web App",4,19,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434245380313653258""",https://twitter.com/beastjohncox/status/1434245380313653258,"2021-09-04 20:02:00","""As governor, I will be tough on crime. I'll oppose early release for violent criminals and stop decriminalization measures. I will always put law-abiding citizens first. https://t.co/O5UTo6Dzl5""",Tweet,"Twitter Web App",6,19,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1434206399114846211""",https://twitter.com/beastjohncox/status/1434206399114846211,"2021-09-04 17:27:06","""One of the key and most basic functions of government is public safety. @GavinNewsom has failed on public safety. My plan will put Californians first to keep people safe. https://t.co/8P64IvcO4v https://t.co/XcRQh4Z5q3""",Tweet,"Twitter Web App",6,14,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1433889874101223426""",https://twitter.com/beastjohncox/status/1433889874101223426,"2021-09-03 20:29:21","""My beastly solution to solving California’s homelessness crisis involves addressing the root causes, enforcing the law, focusing funding on treatment first, and lowering the cost of housing. https://t.co/bIgsIezBtp""",Tweet,"Twitter Web App",3,9,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1433876543038640133""",https://twitter.com/beastjohncox/status/1433876543038640133,"2021-09-03 19:36:22","""We need new ideas to address wildfires like deploying an air armada that is able to quickly mobilize and stop fires before they become raging infernos. https://t.co/PVBT1jJUXs""",Tweet,"Twitter Web App",5,15,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1433863713665077249""",https://twitter.com/beastjohncox/status/1433863713665077249,"2021-09-03 18:45:23",""".@GavinNewsom knows he’s in danger. He’s pulling out all the stops. Everyone needs to get out to vote. #RecallNewsom https://t.co/SU02QA0dwk""",Tweet,"Twitter Web App",8,46,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1433843231607820292""",https://twitter.com/beastjohncox/status/1433843231607820292,"2021-09-03 17:24:00","""We’ve experienced crisis after crisis under @GavinNewsom’s watch. And now Central Valley is at risk of hazardous compounds impacting their drinking water. We need a leader with a proven record of getting things done who can solve these problems. https://t.co/tlQYNgX0mq""",Tweet,"Twitter Web App",6,19,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
"""1433554076256534530""",https://twitter.com/beastjohncox/status/1433554076256534530,"2021-09-02 22:15:00","""This year we’ve seen a record number of companies leaving the state to set up shop in more business friendly states. From California’s outrageous taxes to sky high cost of living, @GavinNewsom hasn’t given Californians many reasons to stay. I will. https://t.co/disQ0yQ2CU""",Tweet,"Twitter for iPhone",7,21,"""828473644640718848""","""John Cox""",beastjohncox,Non-Verified,https://twitter.com/beastjohncox,"Not Protected"
