"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1435324756778110976""",https://twitter.com/larryelder/status/1435324756778110976,"2021-09-07 19:31:03","""Fresno is fed up and ready to recall Gavin Newsom! 

https://t.co/mnvU6rOkTD

#RecallGavinNewsom
#WeveGotAStateToSave https://t.co/0qofrLFcxi""",Tweet,"Twitter for iPhone",417,2179,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435318791290830848""",https://twitter.com/larryelder/status/1435318791290830848,"2021-09-07 19:07:21","""Thousand Oaks

https://t.co/mnvU6rOkTD

#RecallGavinNewsom
#WeveGotAStateToSave https://t.co/PXEyn8oxrv""",Tweet,"Twitter for iPhone",329,1841,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435285751080501253""",https://twitter.com/veniceunited/status/1435285751080501253,"2021-09-07 16:56:04","""Melina Abdullah, Co-Founder of Black Lives Matter out campaigning for Newsom. Calls Larry Elder a Racist
@johnandkenshow @Johnnydontlike @lalovestrump @Ron4California @EmilyTVproducer @BillFOXLA @FightBackVenice @VeniceIntel @streetpeoplela @venicefire
https://t.co/VR9GUe8Tt4""",Retweet,"Twitter for iPhone",76,167,"""1044370363612688385""","""Venice United""",veniceunited,Non-Verified,https://twitter.com/veniceunited,"Not Protected"
"""1435285637536518151""",https://twitter.com/alvedacking/status/1435285637536518151,"2021-09-07 16:55:36","""@alvedaking @larryelder https://t.co/h4YQAbQBQP""",Retweet,"Twitter for iPhone",273,1360,"""2693406407""","""Evangelist Alveda King""",alvedacking,Verified,https://twitter.com/alvedacking,"Not Protected"
"""1435095779249569792""",https://twitter.com/larryelder/status/1435095779249569792,"2021-09-07 04:21:11","""Larry Elder visits Oroville Dam, attends Durham rally Oroville 

https://t.co/oGFV2WS2J0

#RecallGavinNewsom
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",192,820,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435095369302482948""",https://twitter.com/larryelder/status/1435095369302482948,"2021-09-07 04:19:33","""Newsom rally speaker calls Larry Elder 'a Black face on White supremacy' 

https://t.co/rCZen8o1t0

#LiberalBigotry
#RecallGavinNewsom
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",889,2661,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435095001986318341""",https://twitter.com/larryelder/status/1435095001986318341,"2021-09-07 04:18:05","""Larry Elder Is the School-Choice Champion California Needs, Former Dem Senate Leader Says 

https://t.co/zJ63XiROOp

#RecallGavinNewsom
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",336,1359,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435088538249285633""",https://twitter.com/larryelder/status/1435088538249285633,"2021-09-07 03:52:24","""FOX Primetime: Former Democrat lawmaker reveals why she supports Larry Elder

https://t.co/oCnHTeu2Dc

#RecallGavinNewsom
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",134,582,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435088120010063875""",https://twitter.com/larryelder/status/1435088120010063875,"2021-09-07 03:50:45","""Larry Elder on FOX Primetime: Newsom is the only major politician who has praised Biden's Afghanistan disaster 

https://t.co/oCnHTeu2Dc

#AfghanistanDisaster
#RecallGavinNewsom
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",173,683,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435085016489291781""",https://twitter.com/larryelder/status/1435085016489291781,"2021-09-07 03:38:25","""Californians will pay highest gas prices ever for Labor Day weekend
https://t.co/03kEudraJj

#RecallGavinNewsom
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",605,2124,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435084590050283528""",https://twitter.com/larryelder/status/1435084590050283528,"2021-09-07 03:36:43","""https://t.co/mnvU6rOkTD

#RecallGavinNewsom
#WeveGotAStateToSave https://t.co/1meFJmgkVP""",Tweet,"Twitter for iPhone",351,2224,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435038427834163201""",https://twitter.com/larryelder/status/1435038427834163201,"2021-09-07 00:33:17","""“Larry Elder Is the School-Choice Champion California Needs, Former Dem Senate Leader Says”

#WeveGotAStateToSave 

https://t.co/zJ63Xj9qcZ""",Tweet,"Twitter for iPhone",1121,4632,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435034625097752578""",https://twitter.com/larryelder/status/1435034625097752578,"2021-09-07 00:18:10","""#RecallGavinNewsom
https://t.co/uyyrvTZIfJ https://t.co/ojxqezG83Y""",Tweet,"Twitter for iPhone",3121,11637,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1435033193736966150""",https://twitter.com/venturareport/status/1435033193736966150,"2021-09-07 00:12:29","""Crowd of Larry Elder supporters await to hear him speak at The Oaks mall in Thousand Oaks. 8 days until California's recall election https://t.co/imhSYpBbXY""",Retweet,"Twitter for iPhone",744,5053,"""976569885009485824""","""Jorge Ventura Media""",venturareport,Verified,https://twitter.com/venturareport,"Not Protected"
"""1435017253871710208""",https://twitter.com/larryelder/status/1435017253871710208,"2021-09-06 23:09:09","""At 4:20pm PT on @FoxNews hosted by @RCamposDuffy, I give an update on my campaign to recall and replace California Governor Gavin Newsom.

#SchoolChoice 
#RecallGavinNewsom 
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",307,1675,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434994520186253315""",https://twitter.com/larryelder/status/1434994520186253315,"2021-09-06 21:38:49","""Montecito, California 

#RecallGavinNewsom
#WeveGotAStateToSave https://t.co/BVaOcH7YEK""",Tweet,"Twitter for iPhone",566,3489,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434977012477792258""",https://twitter.com/rubinreport/status/1434977012477792258,"2021-09-06 20:29:15","""Huge crowd in Thousand Oaks for @larryelder! 

I’ll be speaking shortly… https://t.co/6TcKelgPis""",Retweet,"Twitter for iPhone",1605,11506,"""18379614""","""Dave Rubin""",rubinreport,Verified,https://twitter.com/rubinreport,"Not Protected"
"""1434976979330142224""",https://twitter.com/rubinreport/status/1434976979330142224,"2021-09-06 20:29:07","""Livestream at the @larryelder rally in Thousand Oaks!

https://t.co/Q1KYL28UfO https://t.co/6Bb6Eb84rZ""",Retweet,"Twitter for iPhone",191,1338,"""18379614""","""Dave Rubin""",rubinreport,Verified,https://twitter.com/rubinreport,"Not Protected"
"""1434974822866374657""",https://twitter.com/larryelder/status/1434974822866374657,"2021-09-06 20:20:32","""Hurricane Ida Isn’t the Whole Story on Climate
The number of landfall hurricanes isn’t rising and the world is getting better at mitigating their destruction.
https://t.co/mocXBZ7RGV

#ClimateChangeAlarmism""",Tweet,"Twitter for iPhone",214,785,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434961068334460929""",https://twitter.com/larryelder/status/1434961068334460929,"2021-09-06 19:25:53","""Californians have had enough. Vote YES on recall. 
#RecallGavinNewsom
https://t.co/uyyrvTZIfJ https://t.co/lx3nIbigdQ""",Tweet,"Twitter for iPhone",4746,16760,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434949867353296900""",https://twitter.com/jeremydboreing/status/1434949867353296900,"2021-09-06 18:41:23","""Just got my absentee ballot for the California recall. 

I moved to Tennessee in November, registered to vote here AND submitted a Voter Registration Cancellation form for CA within a month of leaving. 

Let’s give these bureaucrats control of our healthcare next!""",Retweet,"Twitter for iPhone",3420,16573,"""70174349""","""Jeremy Boreing""",jeremydboreing,Verified,https://twitter.com/jeremydboreing,"Not Protected"
"""1434931952293908487""",https://twitter.com/larryelder/status/1434931952293908487,"2021-09-06 17:30:11","""It’s always an honor to meet the peace officers who work to keep everyone safe. Thank you to the brave men and women of the Los Angeles County Sheriff’s Department in Santa Clarita, who are protecting the public on this Labor Day. https://t.co/pQk7qcIwHa""",Tweet,"Twitter for iPhone",1338,7755,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434914403191717894""",https://twitter.com/larryelder/status/1434914403191717894,"2021-09-06 16:20:27","""Rep. McCaul On Afghan Interpreters Left Behind: ‘Executions Are Taking Place,’ ‘Retaliation Has Been Severe’ 

https://t.co/mmnhfKPqR4

#AfghanistanDisaster""",Tweet,"Twitter for iPhone",237,453,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434913970213720065""",https://twitter.com/larryelder/status/1434913970213720065,"2021-09-06 16:18:44","""Taliban Refusing To Allow Planes Of Americans To Leave, Effectively A ‘Hostage’ Situation, Report Says 

https://t.co/g0yhKB9k9j

#AfghanistanDisaster""",Tweet,"Twitter for iPhone",290,675,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434912362767650816""",https://twitter.com/larryelder/status/1434912362767650816,"2021-09-06 16:12:21","""San Diego jobless rate stays high as companies offer bonuses for workers to come back

https://t.co/ptrNNWzzCE

#RecallGavinNewsom 
#WeveGotAStateToSave https://t.co/4XBTibcAgx""",Tweet,"Twitter for iPhone",254,912,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434894116622508032""",https://twitter.com/larryelder/status/1434894116622508032,"2021-09-06 14:59:51","""RealClearPolitics: Things Are Bad in California &amp;amp; Newsom Is in Trouble 

https://t.co/gasYsMygCg

#RecallGavinNewsom 
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",231,780,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
"""1434893022055964674""",https://twitter.com/larryelder/status/1434893022055964674,"2021-09-06 14:55:30","""Elder urges supporters to report ‘anything suspicious’ in California recall election 

https://t.co/heC99BXwL5

#RecallGavinNewsom 
#WeveGotAStateToSave""",Tweet,"Twitter for iPhone",1123,3698,"""195271137""","""Larry Elder""",larryelder,Verified,https://twitter.com/larryelder,"Not Protected"
